01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:25:36;1;0.270832;0.00109044;0.0551754;0.0741112;0;-0.0325297;-0.0468322;-0.0108685;-0.0101257;0.000213572;0.00152894;0.00213988;
01:25:37;1;0.272594;0.00118513;0.0557608;0.0751156;0;-0.033107;-0.0473435;-0.0110812;-0.0101783;0.000222055;0.00154986;0.0021732;
01:25:38;1;0.27435;0.00128335;0.0563439;0.0761159;0;-0.0336863;-0.0478537;-0.0112954;-0.0102305;0.000230655;0.00157069;0.0022065;
01:25:39;1;0.276099;0.00138507;0.0569249;0.0771121;0;-0.0342677;-0.0483627;-0.0115109;-0.0102822;0.000239369;0.00159145;0.0022398;
01:25:40;1;0.277843;0.00149024;0.0575037;0.0781041;0;-0.034851;-0.0488705;-0.0117278;-0.0103334;0.000248194;0.00161212;0.00227308;
01:25:41;1;0.27958;0.00159882;0.0580802;0.0790917;0;-0.0354361;-0.0493771;-0.0119461;-0.0103842;0.000257129;0.0016327;0.00230634;
01:25:42;1;0.28131;0.00171077;0.0586544;0.0800748;0;-0.0360231;-0.0498824;-0.0121656;-0.0104345;0.00026617;0.0016532;0.00233957;
01:25:43;1;0.283035;0.00182603;0.0592263;0.0810535;0;-0.0366118;-0.0503865;-0.0123865;-0.0104844;0.000275316;0.00167361;0.00237278;
01:25:44;1;0.284754;0.00194456;0.0597958;0.0820275;0;-0.0372022;-0.0508893;-0.0126087;-0.0105338;0.000284563;0.00169393;0.00240596;
01:25:45;1;0.286466;0.00206633;0.0603629;0.0829968;0;-0.0377942;-0.0513908;-0.0128322;-0.0105827;0.000293911;0.00171416;0.00243911;
